Trial,Speed Reached,Time to 30,Time to 60,Time to 100,Time to Completion
426, 100.0156, 2.650132, 6.55082, 20.75871, 24.07372
427, 67.25506, 6.701778, 21.15202, , 36.39208
428, 148.7147, 3.434845, 6.633048, 11.88978, 21.14137
429, 41.19711, 13.18734, , , 54.30156
430, 198.8966, 3.363195, 5.129907, 7.861198, 17.28659

431, 100.0225, 5.549009, 10.03906, 25.12487, 27.52456
432, 48.75459, 7.237175, , , 44.01679
433, 150.1376, 2.858553, 5.326802, 9.195437, 18.99908
434, 84.8132, 4.750299, 11.70321, , 30.01026
435, 100.0566, 4.890965, 10.10947, 20.762, 26.79689
436, 51.79845, 6.463541, , , 41.67503
437, 69.49269, 5.518465, 14.75437, , 33.84695
438, 38.74338, 10.07291, , , 52.92042
439, 143.0535, 5.542561, 8.862504, 14.54733, 23.66747
440, 150.1557, 2.519468, 4.718535, 8.186448, 18.21815
441, 121.5225, 4.587089, 9.286324, 18.09061, 25.1745
442, 94.30388, 7.976723, 15.84758, , 32.53687
443, 100.0838, 6.04277, 10.24179, 18.0621, 27.03499
444, 57.27137, 5.017801, , , 37.76041
445, 127.1546, 2.525958, 5.509226, 11.74577, 21.213
446, 92.06291, 4.624889, 8.756345, , 27.42854
447, 100.0701, 5.102176, 9.869824, 18.9776, 26.50924
448, 48.7541, 8.488821, , , 45.25116
449, 100.0929, 3.03259, 6.017957, 12.40004, 23.22062
450, 106.8932, 4.693072, 10.80224, 23.84191, 27.29289
451, 123.1941, 4.419937, 7.535857, 14.436, 23.53899
452, 69.49269, 5.498242, 14.73851, , 33.84253
453, 102.3799, 3.09135, 7.59291, 22.66278, 25.10931
454, 105.9326, 4.752977, 8.920833, 21.32487, 26.14429
455, 47.84801, 7.558473, , , 44.78847
456, 77.54037, 3.851376, 10.15063, , 29.86251
457, 92.02697, 3.720931, 9.557534, , 27.61314
458, 105.9137, 4.745915, 8.913454, 21.33397, 26.13759
459, 100.0322, 4.785813, 8.932405, 21.373, 26.32524
460, 38.74347, 10.06299, , , 52.89781
461, 150.087, 4.116721, 7.203751, 12.28886, 21.62314
462, 81.42406, 4.350556, 12.08638, , 30.39524
463, 60.06863, 4.635921, 34.77976, , 36.28405
464, 118.7602, 2.866895, 6.166206, 13.95455, 22.52178
465, 100.0742, 6.269075, 10.98995, 19.76094, 27.67717
466, 80.62471, 5.832392, 13.83551, , 32.06627
467, 49.16245, 9.369411, , , 45.91639
468, 71.67824, 6.741332, 14.9772, , 34.36562
469, 84.82055, 4.09918, 11.04967, , 29.35755
470, 143.1464, 2.857222, 6.228104, 11.92433, 21.04422
471, 160.0738, 3.743175, 6.411207, 10.73094, 20.315
472, 80.62659, 4.980483, 13.00169, , 31.22572
473, 41.97888, 9.257193, , , 49.97296
474, 118.4978, 4.473328, 9.413178, 18.82889, 25.43316
475, 91.99158, 4.206096, 10.02584, , 28.04962
476, 48.75386, 8.471683, , , 45.21913
477, 53.78045, 8.154863, , , 42.26601
478, 100.0445, 5.403743, 11.48821, 24.507, 28.11283
479, 106.8851, 5.391734, 11.46288, 24.49816, 27.96651
480, 56.7574, 7.442979, , , 40.8222
481, 121.4722, 6.287211, 11.00779, 19.75863, 26.8431
482, 80.27737, 3.117469, 8.985173, , 28.56034
483, 65.74016, 4.152516, 16.10874, , 33.76323
484, 131.5878, 3.402951, 7.419079, 14.55408, 22.8418
485, 109.7167, 2.602861, 5.902743, 15.34026, 22.87513
486, 100.1374, 2.810549, 5.994591, 11.28267, 22.96541
487, 146.634, 3.378145, 6.514198, 11.86637, 21.14973
488, 100.0929, 3.906256, 6.943568, 13.31444, 24.1147
489, 80.80251, 7.252238, 18.85604, , 34.61291
490, 139.9699, 3.042848, 6.578359, 12.63116, 21.58386
491, 93.11843, 4.02275, 9.488876, , 27.54914
492, 92.05414, 2.904407, 7.572654, , 25.92752
493, 88.70528, 3.081783, 7.527497, , 26.56817
494, 77.53983, 5.054266, 11.35467, , 31.04739
495, 90.52537, 6.105965, 14.87864, , 31.46661
496, 102.2483, 4.427658, 8.911325, 23.98677, 26.28396
497, 148.7059, 4.164759, 7.333178, 12.62142, 21.85666
498, 46.35231, 9.586719, , , 47.63541
499, 142.8356, 3.934679, 7.286216, 12.98659, 22.02158
500, 69.04793, 9.674074, 22.52925, , 38.78474

501, 107.4216, 2.981081, 7.205068, 19.00957, 24.31372
502, 56.74518, 9.71391, , , 43.04221
503, 100.0408, 8.051966, 14.30602, 28.045, 30.88158
504, 150.2222, 2.21327, 4.001959, 6.718814, 17.0748
505, 99.31262, 5.85808, 10.72607, , 28.34739
506, 74.34421, 5.63621, 12.80387, , 32.46605
507, 95.8787, 5.553144, 13.27671, , 29.95084
508, 143.0085, 5.203058, 8.586958, 14.25654, 23.34561
509, 82.8675, 5.021671, 12.52672, , 30.73207
510, 78.31835, 3.903561, 10.26674, , 29.81172
511, 67.2674, 5.759583, 20.23227, , 35.55673
512, 53.78402, 5.355288, , , 39.68387
513, 92.04836, 3.445582, 7.565433, , 26.20552
514, 60.05419, 9.05907, 40.75133, , 41.15339
515, 150.1376, 4.089379, 6.558531, 10.44181, 20.24633
516, 150.3646, 2.301591, 4.468537, 7.55321, 17.62509
517, 100.2423, 2.284304, 4.484364, 7.557282, 21.56144
518, 47.84763, 9.641582, , , 46.83997
519, 80.63248, 4.917517, 12.93724, , 31.17746
520, 123.4482, 5.791626, 10.32657, 18.69611, 26.13206
521, 90.46183, 8.817801, 17.59171, , 34.12678
522, 67.09045, 3.853543, 14.32703, , 32.93466
523, 123.4989, 3.701866, 8.200379, 16.57027, 24.04128
